company_id,company_name,stream_id,stream_name,stream_type,direction,flow_kton_per_year,norm_flow_kton_per_year,carbon_pct_display,carbon_pct_complete,carbon_flow_kton_per_year,temperature_c,pressure_bar,notes
C004,Aromatics Production Plant,S057,WS-2C9+,waste,output,45.100113,0.050575562873513405,89.78,1,40.492,40.0,1.02,
C004,Aromatics Production Plant,S071,WS-RAFF3,waste,output,32.765299,0.036743221455874525,83.77,1,27.449,30.0000016,1.02,
C004,Aromatics Production Plant,S061,WS-HEPT,waste,output,30.1526519,0.03381338184167328,90.55,1,27.302,40.0,1.02,
C004,Aromatics Production Plant,S060,WS-HEAVY,waste,output,20.1978859,0.022650041880105706,148.04,1,29.9,40.0,1.02,
C004,Aromatics Production Plant,S064,WS-PRG,waste,output,12.1410396,0.013615041533035981,9.42,1,1.143,-35.7707895,5.0,
C004,Aromatics Production Plant,S072,WS-WW,waste,output,6.02525193,0.0067567570798430805,1.78,1,0.107,40.0,2.0,
C004,Aromatics Production Plant,S070,WS-RAFF2,waste,output,4.08700865,0.00458319833794359,75.92,1,3.103,40.2750434,1.02,
C004,Aromatics Production Plant,S062,WS-OFFG,waste,output,1.82307079,0.00204440355531949,85.31,1,1.555,40.0,1.02,
C004,Aromatics Production Plant,S066,WS-PRG4,waste,output,0.823285022,0.0009232372298708623,92.11,1,0.758,30.0000016,1.02,
C004,Aromatics Production Plant,S068,WS-PRG6,waste,output,0.0403480102,4.524652358833912e-05,7.66,1,0.003,25.7038241,5.0,
C004,Aromatics Production Plant,S067,WS-PRG5,waste,output,0.00641241444,7.190923660906243e-06,1.18,1,0.0,40.2706444,5.0,
C004,Aromatics Production Plant,S054,PS-BENZ,products,output,891.737243,1.0,92.25,1,822.654,40.0,1.02,
C004,Aromatics Production Plant,S056,PS-PXYL,products,output,754.106522,0.8456600057019262,89.66,1,676.142,22.3374422,1.02,
C004,Aromatics Production Plant,S055,PS-OXYL,products,output,185.68273,0.20822583272996706,90.49,1,168.027,40.1,1.02,
C005,Biogas Plant,S075,Dilution water,raw_material,input,13520.0,17.581274382314696,0.0,1,0.0,,,
C005,Biogas Plant,S074,Food waste,raw_material,input,3300.0,4.291287386215865,,0,,,,
C005,Biogas Plant,S080,Dilution water,waste,output,12683.0,16.492847854356306,0.0,1,0.0,,,
C005,Biogas Plant,S079,Liquid effluent,waste,output,2205.0,2.8673602080624185,,,,,,
C005,Biogas Plant,S078,Cake,waste,output,1095.0,1.423927178153446,,,,,,
C005,Biogas Plant,S076,Biogas line 1,products,output,769.0,1.0,56.65,1,435.665,,,
C005,Biogas Plant,S077,Biogas line 2,products,output,68.0,0.08842652795838751,57.66,1,39.208,,,
C010,Methanol Production Plant,S125,FS-AIR,raw_material,input,827.760128,10.320620816017433,0.0,1,0.0,20.0,1.02,
