company;stream_type;stream_name;composition;kiloton/year;Temperature ©;pressure (bar)
Aromatics Production Plant;raw;FS-REFM;Benzene (3.000%), Toluene (5.000%), o-Xylene (3.840%), m-Xylene (8.470%), p-Xylene (8.470%), Ethylbenzene (3.964%), Styrene (0.036%), Isopentane (25.641%), Cyclohexane (6.920%), MCP (13.790%), 3,3-dimethylpentane (1.870%), 1,3-cyclopentadiene (0.009%), Isoprene (0.190%), Butadiene (0.110%), n-pentene (0.400%), Isobutene (0.100%), 1,2,4-Trimethylbenzene (11.568%), DCPD (2.512%), Naphthalene (3.920%), Thiophene (0.025%), Dimethyl disulfide (0.00035%), 2-methylthiophene (0.0146%), Pyridine/Pyrrole (0.100%), Benzoic acid (0.050%);1866.24966;25;1.02
Aromatics Production Plant;raw;FS-PYGAS;Benzene (25.000%), Toluene (1.900%), o-Xylene (2.800%), m-Xylene (7.000%), p-Xylene (7.000%), Ethylbenzene (3.000%), Styrene (2.000%), Isopentane (14.9246%), Cyclohexane (4.53900%), MCP (7.56162%), 3,3-dimethylpentane (1.056%), 1,3-cyclopentadiene (0.009%), Isoprene (2.540%), Butadiene (1.460%), n-pentene (5.000%), Isobutene (1.000%), 1,2,4-Trimethylbenzene (8.980%), DCPD (1.570%), Naphthalene (2.450%), Thiophene (0.0375%), Dimethyl disulfide (0.00051%), 2-methylthiophene (0.0219%), Pyridine/Pyrrole (0.100%), Benzoic acid (0.050%);2220.70351;25;1.02
Aromatics Production Plant;raw;FS-C7+;Benzene (0.2%), Toluene (40.3%), o-Xylene (5.5%), m-Xylene (8.5%), Water (2%), Naphth (3.3%), Styrene (10.6%), EB (6.6%), 2-MEHX (10.9%), 3-MEHP (10.9%), Cumene (1.2%);381.558799;180.3;5
Aromatics Production Plant;raw;FS-H2;H2 (99.87%), N2 (0.13%);23.6329048;30;16
Aromatics Production Plant;raw;FS-H2IN;H2 (99.87%), N2 (0.13%);0.484395599;30;16
Aromatics Production Plant;raw;FS-H2TOL;H2 (99.87%), N2 (0.13%);0.175959395;30;16
Aromatics Production Plant;raw;FS-HYDRO;H2 (99.87%), N2 (0.13%);4.9174463;30;16
Aromatics Production Plant;raw;FS-WAT;Water (100%);129.710016;15;1.02
Aromatics Production Plant;raw;FS-SULFO;Sulfonale (99%), Water (1%);126.464646;40;1.02
Aromatics Production Plant;products;PS-BENZ;Benzene (99.99%);891.737243;40;1.02
Aromatics Production Plant;products;PS-OXYL;o-xylene (99.54%), m-xylene (0.02%), p-xylene (0.41%), cumene (0.02%);185.68273;40.1;1.02
Aromatics Production Plant;products;PS-PXYL;o-xylene (0.11%), p-xylene (99.78%), EB (0.11%);754.106522;22.3374422;1.02
Aromatics Production Plant;waste;WS-2C9+;o-xylene (8.87%), m-xylene (0.93%), p-xylene (1.03%), SL (0.73%), NAPH (0.01%), DCYPD (17.81%), EB (0.15%), TMB (61.88%), Cumene (8.58%);45.100113;40;1.02
