flow_id,from_company,from_stream,to_company,to_stream,status,measure,stream_a,stream_b,difference,rel_diff
F001,Methanol Production Plant,PS-CH3OH,DME Plant,FS-CH3OH,candidate,Total flow (kton/yr),93.7167772,93.7167772,0.0,+0.0%
F001,Methanol Production Plant,PS-CH3OH,DME Plant,FS-CH3OH,candidate,Methanol (fraction),0.9995999999999999,0.9995999999999999,0.0,+0.0%
F001,Methanol Production Plant,PS-CH3OH,DME Plant,FS-CH3OH,candidate,Water (fraction),0.0002,0.00023,-2.9999999999999997e-05,-15.0%
F001,Methanol Production Plant,PS-CH3OH,DME Plant,FS-CH3OH,candidate,Ethanol (fraction),0.0002,0.00017,2.9999999999999997e-05,+15.0%
