company_id,company_name,stream_id,stream_name,stream_type,flow_kton_per_year,norm_flow_kton_per_year,carbon_pct_%,carbon_pct_complete
C010,Methanol Production Plant,S127,FS-Methane,raw_material,50.0,160.057,74.88,1
C010,Methanol Production Plant,S129,FS-CO2,raw_material,38.817,124.26,27.29,1
C010,Methanol Production Plant,S128,FS-Methane-2,raw_material,32.22,103.142,74.88,1
C010,Methanol Production Plant,S133,WS-FG,waste,859.98,2752.913,5.42,1
C010,Methanol Production Plant,S136,WS-W1,waste,88.97,284.806,0.0,1
C010,Methanol Production Plant,S135,WS-PURGE,waste,33.801,108.202,31.71,1
C010,Methanol Production Plant,S137,WS-W2,waste,22.449,71.862,0.16,1
C010,Methanol Production Plant,S134,WS-LIGHT,waste,7.094,22.709,27.62,1
C010,Methanol Production Plant,S131,PS-CH3OH,products,93.717,300.0,37.48,1
C010,Methanol Production Plant,S132,PS-MPS,products,80.204,256.745,0.0,1
C013,DME Plant,S155,FS-CH3OH,raw_material,93.717,194.953,37.48,1
C013,DME Plant,S158,WS-WATER,waste,26.332,54.777,0.02,1
C013,DME Plant,S157,WS-PRG1,waste,0.133,0.276,38.85,1
C013,DME Plant,S156,PS-DME,products,67.3,140.0,52.14,1
